# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-17941	tRNA ligase			UniRef90_A1B3B3	41.855	1.98e-90	296	93	gnl|DSMZ|unitig_0|quiver_consensus	1836535	1835348	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4FMP6	38.492	5.22e-89	295	96	gnl|DSMZ|unitig_0|quiver_consensus	949714	951204	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0PZ93	38.833	1.66e-88	293	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2SIM2	42.083	2.32e-88	292	99	gnl|DSMZ|unitig_0|quiver_consensus	292092	293504	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WWU7	41.043	1.15e-88	291	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188121	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4J0G4	38.391	3.18e-88	290	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0QUY7	38.855	5.24e-87	289	95	gnl|DSMZ|unitig_0|quiver_consensus	949720	951165	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5CX61	25.952	4.75e-81	286	81	gnl|DSMZ|unitig_0|quiver_consensus	2095712	2093238	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1BJV9	34.892	2.70e-85	286	97	gnl|DSMZ|unitig_0|quiver_consensus	816555	818129	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WY38	27.482	1.33e-80	284	99	gnl|DSMZ|unitig_0|quiver_consensus	2095583	2092779	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1B3P3	32.442	5.81e-84	283	95	gnl|DSMZ|unitig_0|quiver_consensus	2555678	2554038	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4SYX2	38.604	2.65e-84	282	94	gnl|DSMZ|unitig_0|quiver_consensus	2623488	2622076	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0Q3T2	35.780	3.90e-85	281	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188112	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5EHE7	40.326	3.42e-84	280	97	gnl|DSMZ|unitig_0|quiver_consensus	292092	293480	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3DI04	37.931	1.20e-84	280	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1UEA6	39.880	4.93e-84	280	96	gnl|DSMZ|unitig_0|quiver_consensus	949714	951189	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1U0W2	38.761	2.24e-84	279	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0RQU0	33.774	5.07e-82	276	96	gnl|DSMZ|unitig_0|quiver_consensus	816585	818129	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4VLU7	38.375	6.24e-83	275	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0M500	35.686	5.73e-82	275	98	gnl|DSMZ|unitig_0|quiver_consensus	292095	293507	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WWI7	35.529	6.05e-82	274	97	gnl|DSMZ|unitig_0|quiver_consensus	949711	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1T6Z8	38.812	1.37e-81	273	96	gnl|DSMZ|unitig_0|quiver_consensus	949720	951210	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0LI05	34.406	6.13e-81	271	97	gnl|DSMZ|unitig_0|quiver_consensus	949726	951204	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0RQK5	36.952	2.82e-81	270	100	gnl|DSMZ|unitig_0|quiver_consensus	186820	188112	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3PE37	34.932	1.02e-80	268	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3PDX8	33.534	8.01e-80	268	98	gnl|DSMZ|unitig_0|quiver_consensus	292098	293489	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1ALM7	41.047	3.20e-80	267	85	gnl|DSMZ|unitig_0|quiver_consensus	187063	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1S425	26.029	1.13e-74	266	89	gnl|DSMZ|unitig_0|quiver_consensus	2095673	2093247	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1BHA5	35.455	9.45e-80	266	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3QBX2	26.225	3.44e-74	265	82	gnl|DSMZ|unitig_0|quiver_consensus	2095673	2093259	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3PAV8	25.527	3.39e-74	265	81	gnl|DSMZ|unitig_0|quiver_consensus	2095673	2093235	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0M6K0	32.830	1.23e-78	265	99	gnl|DSMZ|unitig_0|quiver_consensus	949720	951219	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5EWT0	27.367	4.70e-74	264	87	gnl|DSMZ|unitig_0|quiver_consensus	2095673	2093142	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4XUX4	39.101	2.47e-79	264	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4SFD5	36.842	1.06e-78	263	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1K581	37.923	9.30e-79	263	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0KJE8	37.808	1.28e-78	263	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0LI63	37.701	1.19e-78	262	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2BXK1	35.593	2.90e-77	261	82	gnl|DSMZ|unitig_0|quiver_consensus	292098	293258	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4W496	34.241	4.96e-77	260	99	gnl|DSMZ|unitig_0|quiver_consensus	949720	951219	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3CLP4	26.535	1.11e-72	260	92	gnl|DSMZ|unitig_0|quiver_consensus	2095652	2092992	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1AWC3	33.198	1.35e-77	260	98	gnl|DSMZ|unitig_0|quiver_consensus	949726	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4YV70	38.444	4.64e-77	258	98	gnl|DSMZ|unitig_0|quiver_consensus	186826	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1S6H5	36.591	3.05e-77	258	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3N0M8	35.778	9.91e-77	257	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1AW09	25.000	9.78e-72	257	84	gnl|DSMZ|unitig_0|quiver_consensus	2095712	2093238	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0RP30	33.824	1.93e-76	257	99	gnl|DSMZ|unitig_0|quiver_consensus	292104	293501	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3MYB6	27.736	3.42e-71	256	80	gnl|DSMZ|unitig_0|quiver_consensus	2095601	2093271	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2BXQ6	38.227	1.60e-76	256	83	gnl|DSMZ|unitig_0|quiver_consensus	187063	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1JMG0	36.652	1.24e-76	256	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0L669	35.271	8.17e-76	256	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951207	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0PPY8	40.123	2.98e-75	255	94	gnl|DSMZ|unitig_0|quiver_consensus	949720	951153	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1SZP3	26.076	7.94e-71	254	82	gnl|DSMZ|unitig_0|quiver_consensus	2095607	2093259	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0L6J8	37.808	1.31e-75	254	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1TTM6	35.099	2.38e-75	253	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1S7Q6	34.274	1.12e-74	253	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0KG39	26.049	4.49e-70	252	92	gnl|DSMZ|unitig_0|quiver_consensus	2095595	2093259	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2SJA7	36.486	1.12e-74	251	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1SVE4	36.199	1.37e-74	251	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1K4R7	26.800	8.96e-70	251	88	gnl|DSMZ|unitig_0|quiver_consensus	2095595	2093127	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WBD4	34.590	4.22e-74	250	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188121	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1US81	34.783	1.54e-74	250	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188112	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1AUQ6	33.400	1.69e-73	249	98	gnl|DSMZ|unitig_0|quiver_consensus	949720	951210	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4G3E6	25.682	1.00e-68	248	85	gnl|DSMZ|unitig_0|quiver_consensus	2095604	2093262	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3QD92	30.566	5.62e-71	248	75	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554107	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4SIX5	26.049	2.62e-68	247	90	gnl|DSMZ|unitig_0|quiver_consensus	2095595	2093256	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4G3W7	38.739	3.83e-73	246	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1TYY9	25.754	2.84e-68	246	91	gnl|DSMZ|unitig_0|quiver_consensus	2095595	2093259	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3QEI8	35.682	2.07e-72	244	99	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2C0T1	32.056	1.25e-71	244	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951183	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1VSK4	34.889	9.47e-72	243	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0KV33	34.556	1.80e-70	240	99	gnl|DSMZ|unitig_0|quiver_consensus	949720	951252	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WP10	34.228	2.46e-70	239	98	gnl|DSMZ|unitig_0|quiver_consensus	186820	188112	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4XA62	37.037	1.27e-69	238	95	gnl|DSMZ|unitig_0|quiver_consensus	949723	951159	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3PBJ6	32.265	1.26e-69	238	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951186	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1SVA7	31.200	9.12e-70	238	96	gnl|DSMZ|unitig_0|quiver_consensus	949720	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5EV06	33.198	6.86e-69	236	97	gnl|DSMZ|unitig_0|quiver_consensus	949726	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4WU98	37.702	3.43e-68	234	97	gnl|DSMZ|unitig_0|quiver_consensus	292092	293510	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1USF5	31.746	3.54e-68	234	97	gnl|DSMZ|unitig_0|quiver_consensus	949726	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1B4S2	39.437	9.27e-69	234	82	gnl|DSMZ|unitig_0|quiver_consensus	187057	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5CVL9	34.300	1.61e-68	233	93	gnl|DSMZ|unitig_0|quiver_consensus	186901	188115	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2BVD5	32.530	7.36e-68	233	97	gnl|DSMZ|unitig_0|quiver_consensus	949717	951186	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WBH1	30.896	3.12e-65	232	75	gnl|DSMZ|unitig_0|quiver_consensus	2555690	2554116	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0RR62	31.746	1.87e-67	231	99	gnl|DSMZ|unitig_0|quiver_consensus	949726	951219	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0KNT0	32.797	4.05e-67	231	96	gnl|DSMZ|unitig_0|quiver_consensus	949720	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1QZF9	35.990	7.26e-68	230	98	gnl|DSMZ|unitig_0|quiver_consensus	1836526	1835288	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3N1S5	31.621	3.85e-66	228	96	gnl|DSMZ|unitig_0|quiver_consensus	949699	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2BPV5	32.394	1.06e-65	227	97	gnl|DSMZ|unitig_0|quiver_consensus	949720	951186	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1TNB1	32.544	8.09e-66	227	97	gnl|DSMZ|unitig_0|quiver_consensus	949708	951204	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4G3S6	28.723	2.82e-63	226	76	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554071	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1K5J1	32.869	9.92e-66	226	98	gnl|DSMZ|unitig_0|quiver_consensus	949711	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0RNK3	23.571	7.54e-62	226	85	gnl|DSMZ|unitig_0|quiver_consensus	2095742	2093286	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4VI60	26.346	3.00e-61	225	86	gnl|DSMZ|unitig_0|quiver_consensus	2095736	2093202	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1W9F0	33.400	3.69e-65	225	99	gnl|DSMZ|unitig_0|quiver_consensus	949720	951204	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5CWX9	30.909	2.97e-65	224	98	gnl|DSMZ|unitig_0|quiver_consensus	949726	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1VL83	31.526	4.02e-65	224	98	gnl|DSMZ|unitig_0|quiver_consensus	949720	951198	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1B9D5	41.131	5.89e-65	224	81	gnl|DSMZ|unitig_0|quiver_consensus	292092	293216	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1US43	31.081	2.41e-64	223	96	gnl|DSMZ|unitig_0|quiver_consensus	292095	293480	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1VKF9	28.885	8.27e-62	222	75	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554116	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3QFX9	37.569	3.99e-64	221	99	gnl|DSMZ|unitig_0|quiver_consensus	1629754	1628690	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3N2F0	27.396	5.03e-60	221	94	gnl|DSMZ|unitig_0|quiver_consensus	2099847	2102099	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4XQV5	25.109	8.20e-59	218	91	gnl|DSMZ|unitig_0|quiver_consensus	2095709	2093025	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1S4X2	36.896	5.21e-63	218	99	gnl|DSMZ|unitig_0|quiver_consensus	1629754	1628597	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A2BUL8	25.258	7.44e-58	215	83	gnl|DSMZ|unitig_0|quiver_consensus	2095718	2093235	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1AWL4	27.188	8.30e-61	215	91	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554113	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A5CWL9	27.444	1.05e-60	214	92	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554113	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3NAZ3	35.533	1.82e-61	214	80	gnl|DSMZ|unitig_0|quiver_consensus	949720	950886	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WRC4	29.815	1.95e-59	214	75	gnl|DSMZ|unitig_0|quiver_consensus	2555684	2554113	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4YVF1	33.730	7.48e-61	213	97	gnl|DSMZ|unitig_0|quiver_consensus	949726	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1WN86	31.034	3.71e-61	213	99	gnl|DSMZ|unitig_0|quiver_consensus	949681	951204	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A4SXF2	30.000	1.05e-59	209	98	gnl|DSMZ|unitig_0|quiver_consensus	949720	951207	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1K9L8	27.125	7.78e-56	209	95	gnl|DSMZ|unitig_0|quiver_consensus	2099955	2102219	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A1B8E0	31.263	1.60e-59	208	97	gnl|DSMZ|unitig_0|quiver_consensus	949726	951201	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A3DD54	30.483	3.29e-58	207	94	gnl|DSMZ|unitig_0|quiver_consensus	949708	951207	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-17941	tRNA ligase			UniRef90_A0M0E2	34.459	2.36e-58	204	96	gnl|DSMZ|unitig_0|quiver_consensus	1488762	1490024	|PWY-6689|	good_blast	keyenzyme	 	Subunit undefined	0	1
RXN-12072	cinnamate dioxygenase	1.14.12.19	NA									|PWY-6690|	no_blast	NA	rxn04597 rxn04598 	Subunit 1	0	NA
RXN-12072	cinnamate dioxygenase	1.14.12.19	NA									|PWY-6690|	no_blast	NA	rxn04597 rxn04598 	Subunit 2	0	NA
RXN-12072	cinnamate dioxygenase	1.14.12.19	NA	sp|P77650|HCAD_ECOLI	35.194	7.62e-53	186	99	gnl|DSMZ|unitig_0|quiver_consensus	3188520	3187333	|PWY-6690|	bad_blast	NA	rxn04597 rxn04598 	Subunit undefined	0	NA
RXN-12073	2,3-dihydroxycinnamate dioxygenase	1.13.11.16	NA									|PWY-6690|	no_blast	NA	rxn03038 rxn04603 	NA	0	NA
RXN-12070	2-hydroxy-6-oxononatrienedioate hydrolase	3.7.1.14	NA	UniRef90_Q13QH4	35.424	9.65e-43	153	92	gnl|DSMZ|unitig_0|quiver_consensus	17903	18679	|PWY-6690|	bad_blast	NA	rxn01895 rxn04604 	NA	0	NA
RXN-12071	cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase	1.3.1.87	NA	UniRef90_Q7N4V7	29.741	3.28e-12	63.5	84	gnl|DSMZ|unitig_0|quiver_consensus	3185589	3186251	|PWY-6690|	bad_blast	NA	rxn04599 rxn04600 	NA	0	NA
RXN-10040	3-hydroxy-trans-cinnamate hydroxylase	1.14.13.127	NA									|PWY-6690|	no_blast	NA	rxn04601 rxn04602 	NA	0	NA
RXN-10626	geranylgeraniol 18-hydroxylase	1.14.14.146/1.14.13.110	NA									|PWY-6691|	no_seq_data	NA	rxn15986 	NA	0	NA
RXN-10627	geranylgeranyl diphosphate diphosphatase	3.1.7.5	NA									|PWY-6691|	no_seq_data	NA	rxn14009 	NA	0	NA
FARNESYLTRANSTRANSFERASE-RXN	geranylgeranyl pyrophosphate synthase	2.5.1.29		UniRef90_O06428	46.732	1.31e-69	233	91	gnl|DSMZ|unitig_0|quiver_consensus	457954	458868	|PWY-6691|	good_blast	NA	rxn01486 rxn34024 	NA	0	1
RXN-12076	cytochrome Cyc1		NA									|PWY-6692|	no_blast	NA	 	NA	0	NA
RXN-12075	iron-rusticyanin reductase	1.16.9.1/1.16.98.1	NA									|PWY-6692|	no_blast	NA	rxn22373 	NA	0	NA
